UserIndex,Checked,CreatedAt,FollowersCount,FriendsCount,ScreenName,TweetID,UserID,UserName
25583,True,2019-08-22 12:29:13,4378,2552,tommorris,1164514862631936002,25583,Tom Morris  🏳️‍🌈
42503,True,2019-08-22 10:33:22,111,94,aagdbl,1164485709064855553,42503,aagdbl
780590,True,2019-08-22 10:24:21,14974,235,fano,1164483438046601216,780590,Stéphane Distinguin
815903,True,2019-08-22 06:58:39,428,158,timFinin,1164431673850810368,815903,Tim Finin
1111871,True,2019-08-22 09:31:23,2288,2691,CaptSolo,1164470109836120065,1111871,Uldis Bojars
1236101,True,2019-08-18 15:12:37,271944,1002,benedictevans, ,1236101,Benedict Evans
1237461,True,2019-08-18 20:52:28,358,2349,program247365, ,1237461,Kevin Ridgway
1246421,True,2019-08-22 05:45:05,7774,8551,danbri,1164413160377520128,1246421,Dan Brickley
1248081,True,2019-08-19 21:11:43,23174,1744,boltyboy, ,1248081,Matthew Holt
1275851,True,2019-08-19 04:40:59,554,672,drzippie, ,1275851,Antonio Cortés (DrZippie)
1291711,True,2019-08-19 12:33:44,6626,1054,trek, ,1291711,Trek Glowacki
1293051,True,2019-08-20 16:23:14,4981,1547,aneel, ,1293051,Aneel
1298061,True,2019-08-19 09:45:22,7791,5048,vendorprisey, ,1298061,Thomas Otter
1310331,True,2019-08-20 18:43:07,4448,1018,rje, ,1310331,Ryan Evans ✈️ Home
1319221,True,2019-08-20 17:50:18,2777,1979,gfelitti, ,1319221,Guilherme Felitti
1336231,True,2019-08-21 02:05:14,11694,1551,robhof,1163995442490695681,1336231,Robert Hof
1374921,True,2019-08-19 02:48:02,909,1147,luke121, ,1374921,Luke Swanson
1435691,True,2019-08-17 19:17:08,29812,1123,JohnSumser, ,1435691,John Sumser
1462161,True,2019-08-16 20:10:04,12553,7463,martinwaxman, ,1462161,Martin Waxman
1496841,True,2019-08-21 20:14:01,4306,2990,RogerMoore,1164269444509655041,1496841,Roger Moore
1528701,True,2019-08-21 21:14:50,6550,4047,lewisshepherd,1164284752179994625,1528701,Lewis Shepherd
1632891,True,2019-08-20 19:17:11,10239,6526,DonaldClark, ,1632891,Donald Clark
1709921,True,2019-08-22 12:13:42,7079,239,denniskennedy,1164510957718122496,1709921,Dennis Kennedy
1744621,True,2019-08-19 14:50:06,97089,87425,HRdotcom, ,1744621,HR.com
1776531,True,2019-08-16 17:08:40,365,1251,worldpeace, ,1776531,ben
1790201,True,2019-08-21 11:44:54,806,403,julians,1164141320191062016,1790201,Julian Stahnke
1795141,True,2019-08-20 02:03:11,151,420,braeken, ,1795141,Richard Braeken
1796301,True,2019-08-21 20:54:29,1053,508,tofias,1164279627277307904,1796301,Michael Tofias
1810191,True,2019-08-15 16:15:47,41052,3688,aldeamartinez, ,1810191,Billy D. Aldea-Martinez
1864071,True,2019-08-20 12:27:38,629,864,cesarbrea, ,1864071,Cesar Brea
1933141,True,2019-08-17 18:34:55,14974,3360,alexhutton, ,1933141,Alex Hutton
1948091,True,2019-08-19 16:16:49,2623,717,vassallo, ,1948091,Steve Vassallo
1950011,True,2019-08-18 12:21:42,1006,461,sdepablos, ,1950011,Sergi de Pablos 🇪🇺
1967531,True,2019-08-20 17:27:09,5954,5626,crbrowning, ,1967531,Colin Browning
1981661,True,2019-08-19 13:02:32,1184,1281,jcchurch, ,1981661,James Church
2016661,True,2019-08-19 18:06:00,1582,898,missjenny, ,2016661,Jenny Nicholson
2147141,True,2019-08-16 17:01:19,1347,2226,bongo, ,2147141,Alessandro Vozza (in Berlin)
2189351,True,2019-08-20 17:17:58,880,1411,leozh, ,2189351,Leo Zhadanovsky
2191041,True,2019-08-19 04:20:58,780,1498,alpinegizmo, ,2191041,David Anderson
2223571,True,2019-08-19 14:39:04,4052,963,mattmay, ,2223571,Matt May
2224271,True,2019-08-16 17:01:13,4633,3530,GaryM, ,2224271,Gary McFarlane
2261781,True,2019-08-18 20:51:33,9849,832,torresburriel, ,2261781,Daniel Torres-Burriel
2331061,False,2019-08-17 20:37:20,4292,3095,nopiedra, ,2331061,Nelson Piedra
2342251,False,2019-08-19 19:33:29,4721,618,Johnmont, ,2342251,John Montgomery
2346181,False,2019-08-20 23:06:08,27,52,maczurray, ,2346181,Zac Murray
2577741,False,2019-08-21 15:41:03,193,179,saeedhp,1164200748994977792,2577741,Saeed Hassanpour
2588351,False,2019-08-19 17:18:42,7010,1421,babs26, ,2588351,babs rangaiah
2690951,False,2019-08-18 02:36:22,1287,1378,ozjimbob, ,2690951,Grant Williamson
2711581,False,2019-08-16 20:47:42,2395,2672,mrebollo, ,2711581,Miguel Rebollo
2726611,False,2019-08-17 22:30:54,8942,957,nils_gilman, ,2726611,Nils Gilman
2762781,False,2019-08-18 23:03:19,245,72,nz_brian, ,2762781,brian
2872751,False,2019-08-18 13:33:49,5129,159,eminetto, ,2872751,eltonminetto.dev
2884321,False,2019-08-19 19:21:39,211,241,LimaMikeGolf, ,2884321,LimaMikeGolf
2914671,False,2019-08-17 22:31:24,2540,2697,jeanprytyskacz, ,2914671,Jean Prytyskacz
2959161,False,2019-08-19 13:46:45,358,277,owisscha, ,2959161,Onno ter Wisscha
3029811,False,2019-08-21 00:48:34,1532,975,jrogue,1163976151095640064,3029811,Park JaeHo
3043371,False,2019-08-20 14:43:02,17673,10408,techguy, ,3043371,John Lynn
3122211,False,2019-08-18 02:30:05,25217,11525,eraser, ,3122211,Juan José Calderón Amador
3194251,False,2019-08-19 14:06:32,2269,853,scotthuber, ,3194251,Scott Huber
3277831,False,2019-08-16 14:11:18,8256,9080,mb_ins, ,3277831,Matias Insaurralde
3313921,False,2019-08-22 10:14:41,1108,1567,jftamames,1164481006184861696,3313921,Jose F. Tamames
3365101,False,2019-08-20 12:10:43,535,620,versae, ,3365101,Javier de la Rosa
3421301,False,2019-08-16 14:53:17,13975,1856,IMTSchicago, ,3421301,IMTS
3557051,False,2019-08-19 08:33:41,2873,1584,FredMartinent, ,3557051,Frederic Martinent
3664111,False,2019-08-19 19:44:21,370,410,nemozen, ,3664111,Nemo Semret
3819701,False,2019-08-21 18:08:33,442032,188,ZDNet,1164237872137793536,3819701,ZDNet
3986671,False,2019-08-21 17:21:47,3251,519,yamaz,1164226102178410497,3986671,最速配信研究会 山崎大輔
4014981,False,2019-08-18 22:16:26,1564,931,Fujiwo, ,4014981,Fujio Kojima
4075841,False,2019-08-22 01:04:07,788,251,allirense,1164342450510553088,4075841,Alli Teration
4079431,False,2019-08-14 19:02:33,643,633,bara, ,4079431,Alex
4113511,False,2019-08-19 20:16:25,459,288,hoisjp, ,4113511,Issei Hiraoka
4147471,False,2019-08-19 16:36:32,2807,1516,babiejenks, ,4147471,Jenka
4148271,False,2019-08-22 03:57:38,363,315,eilonwy,1164386119754113024,4148271,Lim May-Ann
4152501,False,2019-08-19 14:01:00,1271,1931,jaffamonkey, ,4152501,jaffamonkey
4174231,False,2019-08-22 09:55:38,541,658,krmita,1164476212711972865,4174231,Ma. Carmen Cabrera L
4233671,False,2019-08-20 16:47:19,4089,4998,chasrmartin, ,4233671,(((Charlie Martin)))
4260681,False,2019-08-19 12:42:33,807,1994,connerdowney, ,4260681,Conner
4378311,False,2019-08-21 12:56:33,2158,4880,oyoyoy,1164159351872983040,4378311,oddosversarial yaron عوديد
4411041,False,2019-08-16 16:14:54,19162,4477,oscon, ,4411041,O'Reilly OSCON
4471191,False,2019-08-18 05:23:36,9690,1814,FCazals, ,4471191,François Cazals
4488471,False,2019-08-20 19:11:59,380,874,pilsna, ,4488471,nils rydh
4574161,False,2019-08-19 23:49:53,432,2823,pmcg, ,4574161,Paul McGrane
4579901,False,2019-08-14 19:11:19,14544,2233,samcharrington, ,4579901,Sam Charrington
4630831,False,2019-08-19 18:09:00,395,1737,gmm, ,4630831,Garrett M. Morris
4873941,False,2019-08-17 20:30:40,2469,3474,tokkyo, ,4873941,tokkyo
4886111,False,2019-08-19 14:01:46,441,1093,jkarttunen, ,4886111,(((jkarttunen)))
4902171,False,2019-08-18 13:21:50,719,613,smtibor, ,4902171,Sean Tibor
5057811,False,2019-08-18 15:25:51,1405,542,mrtech, ,5057811,Mel Reyes
5058241,False,2019-08-14 19:46:01,731,438,brvmrtn, ,5058241,martin bravo
5145071,False,2019-08-16 16:19:22,20308,11735,velvethammer, ,5145071,ƬЄƛƓƛƝ ƦЄƖԼԼƳ 🍸
5159271,False,2019-08-22 11:43:56,4844,1656,napo,1164503465927856129,5159271,Maurizio Napolitano
5230221,False,2019-08-20 15:38:22,5160,5348,replore, ,5230221,replore
5242801,False,2019-08-19 21:25:02,3352,1579,yama, ,5242801,Yama
5333392,False,2019-08-18 13:52:27,3118,242,brianwhite, ,5333392,Brian White
5338792,False,2019-08-17 23:36:41,538,419,omgjjd, ,5338792,Justin Donaldson
5343242,False,2019-08-16 17:20:26,1084,1562,mikelaingeru, ,5343242,M Molina-Cosculluela
5349982,False,2019-08-18 23:23:21,1930,206,aficionado, ,5349982,Francisco J Martin
5355212,False,2019-08-19 21:07:26,1100,1409,fluffymaccoy, ,5355212,Jo Stichbury
5366312,False,2019-08-19 12:16:40,163,399,_axs_, ,5366312,axs
5372912,False,2019-08-21 11:37:01,2182,1962,Garyuten,1164139337727897600,5372912,がりゅてん(我流)
